,Male,Age,openness,neuroticism,conscientiousness,agreeableness,extraversion,Personality (Class label)
547,0,22,7,6,6,6,5,lively
548,1,18,1,6,6,7,5,responsible
549,0,20,7,7,5,7,3,dependable
550,0,21,7,3,7,7,3,dependable
551,0,18,6,5,4,5,5,serious
552,1,23,3,5,5,4,2,responsible
553,0,25,6,7,6,6,6,extraverted
554,0,18,7,5,6,6,4,lively
555,0,20,5,5,5,6,2,extraverted
556,1,23,6,5,7,6,4,dependable
557,1,21,5,6,5,5,3,serious
558,0,22,5,5,4,4,3,responsible
559,0,20,7,5,5,5,5,serious
560,1,18,6,4,3,6,2,lively
561,1,17,6,4,7,6,4,lively
562,0,19,3,4,5,5,1,responsible
563,0,18,4,4,4,6,1,extraverted
564,1,17,5,4,3,6,6,serious
565,1,23,7,7,4,4,5,extraverted
566,0,19,7,6,7,6,6,lively
567,1,18,7,5,6,4,3,serious
568,0,17,4,5,4,8,4,extraverted
569,1,22,6,6,5,4,4,dependable
570,0,19,7,8,5,4,7,lively
571,1,19,5,4,3,6,3,lively
572,1,19,3,7,2,6,5,serious
573,1,23,7,6,5,5,5,extraverted
574,0,19,7,7,4,5,2,responsible
575,1,19,6,6,4,8,6,dependable
576,0,18,7,5,5,4,4,lively
577,0,24,6,6,5,5,4,serious
578,0,17,7,6,5,4,4,responsible
579,0,19,5,6,6,7,4,dependable
580,1,19,6,5,5,6,4,lively
581,1,22,5,5,5,7,3,dependable
582,1,18,7,8,4,4,3,extraverted
583,1,18,7,6,8,5,7,extraverted
584,0,17,5,5,5,5,6,lively
585,1,24,5,5,4,4,4,dependable
586,0,18,6,6,5,6,4,responsible
587,0,18,7,4,7,7,4,serious
588,0,17,4,6,4,4,7,extraverted
589,1,24,7,4,5,5,5,dependable
590,0,19,5,5,5,5,6,lively
591,0,18,5,1,6,6,2,lively
592,1,18,3,6,3,3,7,responsible
593,1,22,7,5,7,5,2,lively
594,1,21,8,8,5,5,3,serious
595,0,21,6,5,4,7,2,responsible
596,0,18,6,4,4,6,5,lively
597,0,22,7,5,7,6,1,serious
598,0,19,6,3,7,4,4,dependable
599,0,18,4,6,4,4,4,serious
600,1,20,5,6,6,5,4,lively
601,0,20,6,7,6,5,4,responsible
602,0,18,5,5,5,4,6,dependable
603,1,18,6,5,4,4,3,extraverted
604,0,18,7,5,2,4,6,dependable
605,0,17,4,4,4,4,4,serious
606,1,21,5,8,5,6,4,lively
607,1,18,3,6,7,4,3,responsible
608,0,18,4,4,5,7,6,extraverted
609,1,23,5,5,4,6,3,lively
610,1,19,6,3,3,6,4,serious
611,1,23,5,5,2,2,1,responsible
612,1,18,6,6,3,6,2,responsible
613,0,19,6,5,4,5,3,lively
614,1,27,7,5,6,7,5,serious
615,0,19,6,5,4,7,5,dependable
616,0,21,5,5,3,5,2,lively
617,0,18,7,6,5,5,1,extraverted
618,0,17,7,4,7,3,5,serious
619,1,22,5,1,5,1,5,lively
620,0,18,5,7,3,2,3,extraverted
621,1,22,7,5,6,7,3,dependable
622,0,19,5,5,6,3,4,responsible
623,1,23,7,5,7,1,5,serious
624,0,17,6,6,4,6,4,lively
625,1,19,3,4,5,5,5,lively
626,1,18,2,6,6,7,7,dependable
627,1,23,6,2,6,5,5,responsible
628,0,19,5,5,5,1,4,dependable
629,1,19,4,6,5,7,5,dependable
630,0,28,6,4,6,5,6,lively
631,1,23,5,3,4,7,6,dependable
632,0,18,4,6,5,6,5,responsible
633,1,20,7,5,5,5,2,serious
634,0,18,4,5,5,6,4,dependable
635,1,22,4,6,6,5,6,lively
636,0,19,4,4,6,5,2,serious
637,1,28,7,3,5,5,3,extraverted
638,0,17,2,6,3,6,3,lively
639,0,22,5,7,7,6,2,extraverted
640,1,20,6,6,4,5,2,responsible
641,0,18,3,1,5,3,2,responsible
642,0,19,5,3,4,5,4,dependable
643,1,22,3,5,5,7,4,extraverted
644,0,21,4,6,3,3,5,responsible
645,0,18,5,5,5,6,3,serious
646,0,17,4,3,7,6,5,lively
647,1,20,4,7,6,5,3,serious
648,0,18,5,5,6,1,6,serious
649,1,22,2,6,7,2,6,extraverted
650,1,19,6,2,6,6,4,serious
651,1,21,7,5,6,2,6,dependable
652,0,17,6,6,6,6,4,dependable
653,0,19,6,2,6,7,3,lively
654,0,18,5,3,6,7,5,extraverted
655,1,19,5,5,6,2,5,dependable
656,0,18,6,5,5,1,6,responsible
657,1,19,3,5,6,8,5,serious
658,0,19,5,2,3,4,3,lively
659,0,22,5,3,6,7,4,serious
660,0,17,7,4,5,5,7,extraverted
661,1,23,5,3,6,6,5,serious
662,0,19,3,4,7,7,3,serious
663,1,20,7,5,4,1,5,dependable
664,0,17,4,1,6,5,5,responsible
665,0,18,3,6,3,7,4,serious
666,1,21,6,4,3,1,7,extraverted
667,0,19,7,3,2,2,4,dependable
668,0,19,2,2,5,5,4,serious
669,1,18,6,3,2,3,5,dependable
670,1,22,4,6,6,5,4,extraverted
671,1,19,6,5,4,6,2,lively
672,1,18,2,5,4,6,1,serious
673,0,19,4,7,5,4,4,responsible
674,1,21,4,7,4,7,3,dependable
